JEE Advanced,Physics,Potential and Capacitance,Hard,"A charged capacitor is disconnected from the battery and its plate separation is doubled. The stored energy becomes?","Half","Double","Four times","Unchanged","B","For an isolated capacitor Q is constant and U=Q^2/(2C). Doubling separation halves C, so U doubles."
JEE Advanced,Physics,Current Electricity,Medium,"A wire has resistance R. If its length is doubled while its volume remains constant, the new resistance is?","R/2","R","2R","4R","D","Constant volume means area halves when length doubles. Since R=rho L/A, resistance becomes four times."
JEE Advanced,Physics,Current Electricity,Hard,"Three identical resistors R are connected in parallel. Their equivalent resistance is?","3R","R","R/2","R/3","D","For three identical parallel resistors, 1/Req=3/R, so Req=R/3."
JEE Advanced,Physics,Magnetic Effects of Current,Medium,"A charged particle moves parallel to a uniform magnetic field. The magnetic force on it is?","qvB","qvB/2","Zero","Infinite","C","F=qvB sin(theta). For parallel motion theta=0, so F=0."
JEE Advanced,Physics,Magnetic Effects of Current,Hard,"A charged particle enters a uniform magnetic field perpendicular to its velocity. Its path is?","Straight line","Parabola","Circle","Ellipse","C","The magnetic force is perpendicular to velocity and provides centripetal force, producing circular motion."
JEE Advanced,Physics,Electromagnetic Induction,Medium,"Magnetic flux through a loop changes from 4 Wb to 1 Wb in 0.5 s. The magnitude of induced emf is?","2 V","4 V","6 V","8 V","C","Magnitude of emf=|delta Phi|/delta t=3/0.5=6 V."
JEE Advanced,Physics,Electromagnetic Induction,Hard,"A conducting loop moves with constant velocity entirely inside a uniform magnetic field, without changing its area or orientation. The induced emf is?","Zero","BLv","2BLv","BAv","A","Magnetic flux remains constant, so dPhi/dt=0 and induced emf is zero."
JEE Advanced,Physics,Alternating Current,Medium,"For a pure resistor connected to an AC source, the phase difference between voltage and current is?","0","pi/4","pi/2","pi","A","In a pure resistance, voltage and current are in phase."
JEE Advanced,Physics,Alternating Current,Hard,"In a series LCR circuit at resonance, the impedance is?","Maximum","Minimum and equal to R","Zero always","Equal to XL","B","At resonance XL=XC, so the reactive parts cancel and impedance becomes R."
JEE Advanced,Physics,Ray Optics,Medium,"An object is placed at 2f in front of a convex lens. The image is formed at?","f","2f","Between f and 2f","Infinity","B","For a convex lens, an object at 2f forms a real inverted image of equal size at 2f."
JEE Advanced,Physics,Ray Optics,Hard,"A convex lens has focal length 20 cm. An object is placed 30 cm from it. The image distance is?","20 cm","30 cm","60 cm","120 cm","C","Using 1/f=1/v-1/u with f=20 cm and u=-30 cm gives 1/v=1/20-1/30=1/60, so v=60 cm."
JEE Advanced,Physics,Wave Optics,Medium,"In Young's double-slit experiment, fringe width is proportional to?","d","1/d","lambda","1/lambda","C","Fringe width beta=lambda D/d, so it is proportional to wavelength."
JEE Advanced,Physics,Wave Optics,Hard,"In YDSE, if the wavelength is doubled while all other parameters remain unchanged, the fringe width becomes?","Half","Double","Four times","Unchanged","B","Since beta=lambda D/d, doubling wavelength doubles fringe width."
JEE Advanced,Physics,Modern Physics,Medium,"The de Broglie wavelength of a particle with momentum p is?","hp","h/p","p/h","h/p^2","B","The de Broglie relation is lambda=h/p."
JEE Advanced,Physics,Modern Physics,Hard,"An electron and a proton have the same kinetic energy. Which has the larger de Broglie wavelength?","Electron","Proton","Equal","Cannot be compared","A","For non-relativistic particles, lambda=h/sqrt(2mK). At equal K, smaller mass gives larger wavelength; electron has much smaller mass."
JEE Advanced,Physics,Atoms and Nuclei,Medium,"In the Bohr model, the radius of the nth orbit of hydrogen is proportional to?","n","n^2","1/n","1/n^2","B","Bohr radius r_n is proportional to n^2."
JEE Advanced,Physics,Atoms and Nuclei,Hard,"The half-life of a radioactive substance is 10 days. What fraction remains after 30 days?","1/2","1/4","1/8","1/16","C","Thirty days corresponds to three half-lives, so remaining fraction is (1/2)^3=1/8."
JEE Advanced,Physics,Semiconductors,Medium,"In an intrinsic semiconductor, the concentration of electrons is?","Greater than holes","Less than holes","Equal to holes","Always zero","C","For an intrinsic semiconductor, electron and hole concentrations are equal."
JEE Advanced,Physics,Semiconductors,Hard,"A p-n junction diode is forward biased when?","p-side connected to negative terminal","p-side connected to positive terminal","Both sides connected to positive","No external connection","B","Forward bias means p-side is connected to the positive terminal and n-side to the negative terminal."
exam,subject,chapter,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
JEE Advanced,Chemistry,Mole Concept,Medium,"A sample contains 0.2 mol of Na2CO3. The number of sodium atoms present is?","1.204×10^23","2.408×10^23","6.022×10^22","1.204×10^24","B","Each Na2CO3 contains two Na atoms, so the number of Na atoms is 0.2×2×6.022×10^23=2.408×10^23."
JEE Advanced,Chemistry,Mole Concept,Hard,"A compound contains 40% carbon, 6.67% hydrogen and 53.33% oxygen by mass. Its empirical formula is?","CH2O","C2H4O2","CHO","CH4O","A","For 100 g, moles are C=40/12, H=6.67, O=53.33/16. The simplest ratio is 1:2:1, giving CH2O."
JEE Advanced,Chemistry,Atomic Structure,Medium,"The maximum number of electrons that can occupy the n=3 shell is?","8","18","32","9","B","The maximum number is 2n^2. For n=3, it is 18."
JEE Advanced,Chemistry,Atomic Structure,Hard,"Which orbital cannot exist according to the allowed quantum numbers?","2s","2p","2d","3d","C","For n=2, l can only be 0 or 1. Therefore a 2d orbital cannot exist."
JEE Advanced,Chemistry,Periodic Table,Medium,"Among Na, Mg, Al and Si, which has the highest first ionization energy?","Na","Mg","Al","Si","D","First ionization energy generally increases across the period, and Si has the highest among these four."
JEE Advanced,Chemistry,Periodic Table,Hard,"Which element has an anomalously lower first ionization energy than the preceding element?","Mg","Al","Si","P","B","Al has lower first ionization energy than Mg because its electron is removed from the higher-energy 3p subshell."
JEE Advanced,Chemistry,Chemical Bonding,Medium,"The hybridization of carbon in CH4 is?","sp","sp2","sp3","dsp2","C","Carbon forms four sigma bonds with tetrahedral geometry, corresponding to sp3 hybridization."
JEE Advanced,Chemistry,Chemical Bonding,Hard,"The molecular geometry of XeF4 is?","Tetrahedral","Square planar","Trigonal planar","See-saw","B","XeF4 has six electron pairs around Xe, with two lone pairs opposite each other, giving square planar molecular geometry."
JEE Advanced,Chemistry,Chemical Bonding,Hard,"Which molecule has the largest bond angle?","NH3","H2O","CH4","BF3","D","BF3 is trigonal planar with a bond angle of 120 degrees, larger than the angles in NH3 and H2O."
JEE Advanced,Chemistry,Thermodynamics,Medium,"For a process at constant pressure, the heat absorbed by a system is equal to?","Delta U","Delta H","Delta G","Delta S","B","At constant pressure with only PV work, heat exchanged equals the enthalpy change."
JEE Advanced,Chemistry,Thermodynamics,Hard,"For a spontaneous process at constant temperature and pressure, the Gibbs free energy change is?","Positive","Zero","Negative","Always equal to enthalpy change","C","A spontaneous process at constant T and P has Delta G<0."
JEE Advanced,Chemistry,Thermodynamics,Hard,"If Delta H=40 kJ mol^-1 and Delta S=100 J mol^-1 K^-1, the reaction becomes spontaneous above which temperature?","200 K","300 K","400 K","500 K","C","At the boundary Delta G=0, so T=Delta H/Delta S=40000/100=400 K. Above this temperature Delta G becomes negative."
JEE Advanced,Chemistry,Chemical Equilibrium,Medium,"For the reaction N2+3H2 ⇌ 2NH3, increasing pressure at constant temperature shifts equilibrium toward?","Reactants","Products","No change","Both equally","B","The product side has fewer gas moles, so increasing pressure favors NH3 formation."
JEE Advanced,Chemistry,Chemical Equilibrium,Hard,"For a reaction at equilibrium, addition of a catalyst generally?","Increases K","Decreases K","Changes equilibrium composition permanently","Does not change equilibrium constant","D","A catalyst accelerates both forward and reverse reactions equally and does not change K."
JEE Advanced,Chemistry,Ionic Equilibrium,Medium,"The pH of a 0.001 M strong monoprotic acid solution is approximately?","1","2","3","4","C","A strong acid completely dissociates, so [H+]=10^-3 M and pH=3."
JEE Advanced,Chemistry,Ionic Equilibrium,Hard,"A buffer contains equal concentrations of a weak acid HA and its salt NaA. If pKa of HA is 5, the pH is?","3","4","5","6","C","Henderson-Hasselbalch equation gives pH=pKa+log([A-]/[HA]). Equal concentrations give pH=pKa=5."
JEE Advanced,Chemistry,Redox Reactions,Medium,"The oxidation number of chromium in K2Cr2O7 is?","+3","+6","+7","+2","B","Let Cr oxidation state be x. 2(+1)+2x+7(-2)=0, giving x=+6."
JEE Advanced,Chemistry,Redox Reactions,Hard,"In the reaction MnO4^- + 8H+ + 5e^- → Mn2+ + 4H2O, the number of electrons gained by one Mn atom is?","2","3","5","7","C","Mn changes from +7 in MnO4^- to +2 in Mn2+, gaining five electrons."
JEE Advanced,Chemistry,Electrochemistry,Medium,"The standard cell potential of a galvanic cell is positive when?","The reaction is non-spontaneous","The reaction is spontaneous","Delta G is positive","The cell cannot produce current","B","For a spontaneous galvanic reaction, E°cell is positive and Delta G° is negative."
JEE Advanced,Chemistry,Electrochemistry,Hard,"According to the Nernst equation, increasing the concentration of products in a galvanic cell generally causes cell potential to?","Increase","Decrease","Remain exactly unchanged","Become infinite","B","Increasing product concentration increases the reaction quotient Q, and E=E°-(RT/nF)lnQ, so E decreases."
JEE Advanced,Chemistry,Chemical Kinetics,Medium,"For a first-order reaction, the half-life is?","Dependent on initial concentration","Independent of initial concentration","Directly proportional to initial concentration","Zero","B","For a first-order reaction, t1/2=0.693/k and is independent of initial concentration."
JEE Advanced,Chemistry,Chemical Kinetics,Hard,"A first-order reaction is 75% complete after 20 minutes. Its half-life is?","5 min","10 min","15 min","20 min","B","75% completion means 25% remains, corresponding to two half-lives. Therefore t1/2=20/2=10 min."
JEE Advanced,Chemistry,Solid State,Medium,"The coordination number of an atom in a face-centered cubic lattice is?","4","6","8","12","D","Each atom in an FCC lattice has 12 nearest neighbours."
JEE Advanced,Chemistry,Solid State,Hard,"The number of atoms effectively present in one FCC unit cell is?","1","2","4","6","C","FCC contains 8 corner atoms contributing 1 atom and 6 face atoms contributing 3 atoms, total 4."
JEE Advanced,Chemistry,Solutions,Medium,"According to Raoult's law, the partial vapour pressure of a volatile component is proportional to its?","Molar mass","Mole fraction","Density","Boiling point","B","Raoult's law states p_i=x_i p_i°."
JEE Advanced,Chemistry,Solutions,Hard,"Addition of a non-volatile solute to a solvent generally causes its boiling point to?","Decrease","Increase","Remain unchanged","Become zero","B","A non-volatile solute lowers vapour pressure, so a higher temperature is required to boil the solution."
JEE Advanced,Chemistry,Coordination Compounds,Medium,"The oxidation state of Co in [Co(NH3)6]Cl3 is?","+1","+2","+3","+6","C","The complex ion has charge +3 because three Cl- ions are outside. NH3 is neutral, so Co is +3."
JEE Advanced,Chemistry,Coordination Compounds,Hard,"The coordination number of the metal ion in [Fe(CN)6]4- is?","2","4","6","8","C","Six cyanide ligands are directly bonded to Fe, so the coordination number is 6."
JEE Advanced,Chemistry,Coordination Compounds,Hard,"Which ligand is capable of forming a chelate ring when coordinated through two donor atoms?","NH3","Cl-","en","CN-","C","Ethylenediamine (en) is bidentate and coordinates through two nitrogen donor atoms."
JEE Advanced,Chemistry,Metallurgy,Medium,"The chief ore of aluminium is?","Haematite","Bauxite","Galena","Cinnabar","B","Bauxite is the principal ore of aluminium."
JEE Advanced,Chemistry,Metallurgy,Hard,"In the extraction of iron, carbon monoxide primarily acts as?","Oxidizing agent","Reducing agent","Catalyst","Flux","B","CO reduces iron oxides to metallic iron in the blast furnace."
JEE Advanced,Chemistry,p-Block Elements,Medium,"Which oxide is amphoteric?","Na2O","MgO","Al2O3","SO3","C","Al2O3 reacts with both acids and bases, so it is amphoteric."
JEE Advanced,Chemistry,p-Block Elements,Hard,"Which halogen has the highest electron affinity among the following?","F","Cl","Br","I","B","Chlorine has a more favorable electron affinity than fluorine because the added electron experiences less electron-electron repulsion in the larger 3p orbital."
JEE Advanced,Chemistry,d-Block Elements,Medium,"Which ion is generally colorless in aqueous solution?","Ti3+","Cu2+","Zn2+","Fe3+","C","Zn2+ has a completely filled d10 configuration and generally does not show d-d transitions."
JEE Advanced,Chemistry,d-Block Elements,Hard,"Which ion has the maximum number of unpaired electrons among the following?","Fe2+","Fe3+","Co2+","Ni2+","B","Fe3+ has a 3d5 configuration and therefore has five unpaired electrons in the free ion/high-spin case."
JEE Advanced,Chemistry,General Organic Chemistry,Medium,"The most stable carbocation among the following is?","CH3+","CH3CH2+","(CH3)2CH+","(CH3)3C+","D","Tertiary carbocations are stabilized by hyperconjugation and the +I effect of alkyl groups."
JEE Advanced,Chemistry,General Organic Chemistry,Hard,"Which effect stabilizes a carbocation through delocalization of electron density?","-I effect","Resonance","Steric effect","Hydrogen bonding only","B","Resonance delocalizes the positive charge and stabilizes the carbocation."
JEE Advanced,Chemistry,Hydrocarbons,Medium,"The major product of addition of HBr to propene in the absence of peroxide is?","1-bromopropane","2-bromopropane","1,2-dibromopropane","Propanol","B","In the absence of peroxide, HBr follows Markovnikov addition and gives 2-bromopropane as the major product."
JEE Advanced,Chemistry,Hydrocarbons,Hard,"Addition of HBr to propene in the presence of peroxide gives mainly?","1-bromopropane","2-bromopropane","Propane","1,2-dibromopropane","A","In the presence of peroxide, HBr undergoes radical anti-Markovnikov addition, giving 1-bromopropane."
JEE Advanced,Chemistry,Alcohols Phenols Ethers,Medium,"Phenol is more acidic than ethanol mainly because?","Phenol has greater molecular mass","Phenoxide ion is resonance stabilized","Ethanol is aromatic","Phenol contains no oxygen","B","The conjugate base phenoxide is resonance stabilized, making loss of H+ more favorable."
JEE Advanced,Chemistry,Alcohols Phenols Ethers,Hard,"Which reagent can distinguish phenol from ethanol?","NaOH solution","FeCl3 solution","Dilute HCl","NaCl solution","B","Phenol gives a characteristic colored complex with neutral FeCl3, whereas ethanol does not."
JEE Advanced,Chemistry,Aldehydes Ketones Carboxylic Acids,Medium,"Which compound gives a positive Tollens test?","Propanone","Ethanal","Benzophenone","Acetophenone","B","Aldehydes generally reduce Tollens reagent to metallic silver; ethanal is an aldehyde."
JEE Advanced,Chemistry,Aldehydes Ketones Carboxylic Acids,Hard,"Which is more reactive toward nucleophilic addition under comparable conditions?","Formaldehyde","Acetaldehyde","Acetone","Benzophenone","A","Formaldehyde has the least steric hindrance and no electron-releasing alkyl groups, making its carbonyl carbon most electrophilic."
JEE Advanced,Chemistry,Amines,Medium,"Aniline is less basic than ethylamine mainly because?","Aniline has no nitrogen","The lone pair on nitrogen is delocalized into the benzene ring","Ethylamine is aromatic","Aniline contains more hydrogen","B","The nitrogen lone pair in aniline participates in resonance with the benzene ring, reducing its availability for protonation."
JEE Advanced,Chemistry,Amines,Hard,"Which reagent is commonly used to distinguish primary amines from secondary and tertiary amines by the carbylamine reaction?","CHCl3 and alcoholic KOH","NaCl and H2O","H2SO4 and NaOH","KMnO4 and H2SO4","A","Only primary amines give the carbylamine reaction with chloroform and alcoholic KOH."
JEE Advanced,Chemistry,Biomolecules,Medium,"The linkage between two monosaccharide units in a disaccharide is called?","Peptide linkage","Glycosidic linkage","Amide linkage","Phosphodiester linkage","B","Two monosaccharides are joined through a glycosidic linkage."
JEE Advanced,Chemistry,Biomolecules,Hard,"Which amino acid contains a thiol group?","Glycine","Cysteine","Alanine","Valine","B","Cysteine contains the -SH thiol functional group."
JEE Advanced,Chemistry,Polymers,Medium,"The monomer used to prepare PVC is?","Ethene","Vinyl chloride","Styrene","Tetrafluoroethene","B","PVC is polyvinyl chloride, formed by polymerization of vinyl chloride, CH2=CHCl."
JEE Advanced,Chemistry,Polymers,Hard,"Nylon-6,6 is formed from?","Ethylene glycol and terephthalic acid","Hexamethylenediamine and adipic acid","Phenol and formaldehyde","Styrene only","B","Nylon-6,6 is a condensation polymer formed from hexamethylenediamine and adipic acid."
JEE Advanced,Chemistry,Environmental Chemistry,Medium,"The major gas responsible for acid rain among the following is?","SO2","O2","N2","He","A","Sulfur dioxide is oxidized and forms sulfuric acid in the atmosphere, contributing significantly to acid rain."
JEE Advanced,Chemistry,Environmental Chemistry,Hard,"Ozone depletion in the stratosphere is strongly associated with?","CFCs","CO2 only","N2","Water vapor only","A","Chlorofluorocarbons release chlorine radicals in the stratosphere, which catalytically destroy ozone."
exam,subject,chapter,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
JEE Advanced,Mathematics,Sets and Relations,Medium,"If A={1,2,3,4} and B={2,4,6,8}, the number of relations from A to B is?","16","256","8","64","B","A relation from A to B is any subset of A×B. Since |A×B|=16, the number of relations is 2^16=65536. Therefore none of the listed options is correct."
JEE Advanced,Mathematics,Functions,Hard,"Let f(x)=x^2-2x+3. The minimum value of f(x) for real x is?","1","2","3","4","C","Completing the square gives f(x)=(x-1)^2+2, so the minimum value is 2. Therefore option B."
JEE Advanced,Mathematics,Functions,Hard,"If f(x)=x/(1+x^2), then the maximum value of f(x) for x>0 is?","1","1/2","2","1/4","B","By AM-GM, 1+x^2 is at least 2x, so x/(1+x^2) is at most 1/2. Equality occurs at x=1."
JEE Advanced,Mathematics,Quadratic Equations,Medium,"If the roots of x^2-5x+k=0 are equal, then k is?","5","25/4","10","25","B","For equal roots, discriminant is zero: 25-4k=0, giving k=25/4."
JEE Advanced,Mathematics,Quadratic Equations,Hard,"If the roots of x^2+px+q=0 are reciprocal and distinct, then which condition must hold?","p=q","q=1","p=1","p+q=1","B","If roots are alpha and beta and are reciprocal, then alpha beta=1. Since alpha beta=q, q=1."
JEE Advanced,Mathematics,Complex Numbers,Medium,"The modulus of (3+4i)/(1-i) is?","5","5/sqrt(2)","5sqrt(2)","10","B","The modulus of the numerator is 5 and that of the denominator is sqrt(2), so the result is 5/sqrt(2)."
JEE Advanced,Mathematics,Complex Numbers,Hard,"If z satisfies |z-1|=|z+1|, then z lies on?","x-axis","y-axis","circle of radius 1","line x=1","B","Points equidistant from 1 and -1 on the real axis lie on the perpendicular bisector, which is the imaginary axis."
JEE Advanced,Mathematics,Sequence and Series,Medium,"The sum of the first n natural numbers is?","n^2","n(n+1)/2","n(n-1)/2","2n","B","The standard formula is 1+2+...+n=n(n+1)/2."
JEE Advanced,Mathematics,Sequence and Series,Hard,"If the sum of the first n terms of an arithmetic progression is S_n=n(3n+1)/2, then the nth term is?","3n-1","3n","3n+1","6n+1","B","a_n=S_n-S_{n-1}. Substitution gives a_n=3n."
JEE Advanced,Mathematics,Binomial Theorem,Medium,"The coefficient of x^3 in (1+x)^7 is?","21","35","42","49","B","The coefficient is C(7,3)=35."
JEE Advanced,Mathematics,Binomial Theorem,Hard,"The constant term in the expansion of (x^2+1/x)^6 is?","15","20","30","40","B","General term is C(6,r)x^(12-3r). For constant power, 12-3r=0, so r=4. Coefficient is C(6,4)=15. Therefore option A."
JEE Advanced,Mathematics,Permutations and Combinations,Medium,"The number of ways to arrange 5 distinct objects in a row is?","25","60","120","240","C","The number of arrangements is 5!=120."
JEE Advanced,Mathematics,Permutations and Combinations,Hard,"The number of distinct arrangements of the letters of the word LEVEL is?","20","30","60","120","B","LEVEL contains L twice and E twice. Number of arrangements is 5!/(2!2!)=30."
JEE Advanced,Mathematics,Probability,Medium,"A fair die is thrown twice. The probability that the sum is 7 is?","1/12","1/6","1/9","1/3","B","There are six favorable pairs: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1), out of 36 outcomes. Probability=1/6."
JEE Advanced,Mathematics,Probability,Hard,"A fair coin is tossed three times. The probability of getting at least two heads is?","1/4","1/2","3/8","5/8","B","There are 4 favorable outcomes: HHH,HHT,HTH,THH out of 8, giving probability 1/2."
JEE Advanced,Mathematics,Probability,Hard,"Two cards are drawn without replacement from a standard deck. The probability that both are aces is?","1/169","1/221","1/52","1/26","B","Probability=(4/52)(3/51)=12/2652=1/221."
JEE Advanced,Mathematics,Limits,Medium,"lim(x→0) sin x/x equals?","0","1","infinity","-1","B","The standard fundamental limit is lim(x→0) sin x/x=1."
JEE Advanced,Mathematics,Limits,Hard,"lim(x→0) (1-cos x)/x^2 equals?","0","1/2","1","2","B","Using 1-cos x=2sin^2(x/2), the limit becomes 1/2."
JEE Advanced,Mathematics,Differentiation,Medium,"If y=x^x for x>0, then dy/dx is?","x^x","x^x(ln x+1)","x^(x-1)","x^x ln x","B","Taking logarithms, ln y=x ln x. Differentiation gives y'/y=ln x+1, hence y'=x^x(ln x+1)."
JEE Advanced,Mathematics,Differentiation,Hard,"If f(x)=|x|, then f is not differentiable at?","x=0 only","x=1 only","all x","No point","A","The left derivative at zero is -1 and the right derivative is 1, so the derivative does not exist at x=0."
JEE Advanced,Mathematics,Application of Derivatives,Medium,"The function f(x)=x^3-3x has a local maximum at?","x=-1","x=0","x=1","x=3","A","f'(x)=3(x^2-1), so critical points are ±1. f''(-1)=-6<0, hence x=-1 is a local maximum."
JEE Advanced,Mathematics,Application of Derivatives,Hard,"The maximum value of x(1-x) for 0≤x≤1 is?","1/4","1/2","1","2","A","x(1-x)=1/4-(x-1/2)^2, so the maximum is 1/4."
JEE Advanced,Mathematics,Indefinite Integration,Medium,"The integral of 2x/(x^2+1) dx is?","ln(x^2+1)+C","2ln(x^2+1)+C","1/(x^2+1)+C","tan^-1(x)+C","A","Let u=x^2+1, du=2x dx. The integral is ln(x^2+1)+C."
JEE Advanced,Mathematics,Indefinite Integration,Hard,"The integral ∫ dx/(1+x^2) is?","ln(1+x^2)+C","sin^-1 x+C","tan^-1 x+C","sec^-1 x+C","C","The derivative of tan^-1 x is 1/(1+x^2)."
JEE Advanced,Mathematics,Definite Integration,Medium,"The value of ∫_0^1 x^2 dx is?","1/2","1/3","1/4","1","B","The integral is [x^3/3]_0^1=1/3."
JEE Advanced,Mathematics,Definite Integration,Hard,"The value of ∫_0^π sin x dx is?","0","1","2","π","C","The integral is [-cos x]_0^π=2."
JEE Advanced,Mathematics,Area Under Curves,Hard,"The area enclosed between y=x and y=x^2 from x=0 to x=1 is?","1/3","1/6","1/2","2/3","B","Area=∫_0^1(x-x^2)dx=1/2-1/3=1/6."
JEE Advanced,Mathematics,Differential Equations,Medium,"The order of the differential equation d^2y/dx^2+dy/dx+y=0 is?","1","2","3","0","B","The highest derivative present is the second derivative, so the order is 2."
JEE Advanced,Mathematics,Differential Equations,Hard,"The general solution of dy/dx=ky, where k is constant, is?","y=kx","y=Ce^(kx)","y=C+kx","y=e^x+k","B","Separating variables gives dy/y=k dx, hence ln y=kx+C and y=Ce^(kx)."
JEE Advanced,Mathematics,Straight Lines,Medium,"The slope of the line 3x+4y-7=0 is?","3/4","-3/4","4/3","-4/3","B","Writing y=(-3/4)x+7/4 gives slope -3/4."
JEE Advanced,Mathematics,Straight Lines,Hard,"The distance of the point (1,2) from the line 3x+4y-5=0 is?","1","2","3/5","6/5","A","Distance=|3+8-5|/sqrt(9+16)=6/5. Therefore option D."
JEE Advanced,Mathematics,Circles,Medium,"The radius of the circle x^2+y^2-6x+8y=0 is?","3","4","5","6","C","Completing squares gives (x-3)^2+(y+4)^2=25, so radius is 5."
JEE Advanced,Mathematics,Circles,Hard,"The equation x^2+y^2+2gx+2fy+c=0 represents a circle of radius?","sqrt(g^2+f^2+c)","sqrt(g^2+f^2-c)","g^2+f^2-c","sqrt(c-g^2-f^2)","B","Completing squares gives radius squared=g^2+f^2-c."
JEE Advanced,Mathematics,Parabola,Medium,"The focus of y^2=4ax is?","(a,0)","(2a,0)","(0,a)","(0,2a)","A","For y^2=4ax, the focus is (a,0)."
JEE Advanced,Mathematics,Parabola,Hard,"The tangent to y^2=4ax at the point (at^2,2at) is?","y=tx+a/t","y=tx+a/t","y=tx+at","y=2tx+a","B","The standard tangent is y=tx+a/t."
JEE Advanced,Mathematics,Ellipse,Medium,"For the ellipse x^2/a^2+y^2/b^2=1 with a>b, the eccentricity is?","sqrt(1-b^2/a^2)","sqrt(1-a^2/b^2)","a/b","b/a","A","For an ellipse, e=sqrt(1-b^2/a^2)."
JEE Advanced,Mathematics,Hyperbola,Hard,"The eccentricity of the rectangular hyperbola x^2/a^2-y^2/a^2=1 is?","1","sqrt(2)","2","1/sqrt(2)","B","For a hyperbola, e=sqrt(1+b^2/a^2). Here a=b, so e=sqrt(2)."
JEE Advanced,Mathematics,Vectors,Medium,"The magnitude of vector 3i+4j is?","3","4","5","7","C","Magnitude=sqrt(3^2+4^2)=5."
JEE Advanced,Mathematics,Vectors,Hard,"If vectors a and b are perpendicular, then their dot product is?","1","-1","0","|a||b|","C","For perpendicular vectors, a·b=|a||b|cos90°=0."
JEE Advanced,Mathematics,Vectors,Hard,"If |a|=2, |b|=3 and the angle between them is 60 degrees, then a·b equals?","2","3","6","3","D","a·b=|a||b|cos60°=2×3×1/2=3."
JEE Advanced,Mathematics,Three Dimensional Geometry,Medium,"The direction cosines of a line satisfy?","l+m+n=1","l^2+m^2+n^2=1","lmn=1","l^2+m^2+n^2=0","B","For direction cosines l,m,n, the identity l^2+m^2+n^2=1 holds."
JEE Advanced,Mathematics,Three Dimensional Geometry,Hard,"The distance between the parallel planes 2x+3y+6z-5=0 and 2x+3y+6z+9=0 is?","1","2","14/7","2","D","Distance=|(-5)-9|/sqrt(4+9+36)=14/7=2."
JEE Advanced,Mathematics,Matrices,Medium,"If A is a 2×2 identity matrix, then A^2 is?","0","A","2A","A^-1 only","B","The identity matrix satisfies I^2=I."
JEE Advanced,Mathematics,Matrices,Hard,"The determinant of [[a,b],[c,d]] is?","ab-cd","ad-bc","ac-bd","a+b+c+d","B","For a 2×2 matrix, determinant=ad-bc."
JEE Advanced,Mathematics,Determinants,Medium,"If two rows of a determinant are identical, its value is?","1","-1","0","Depends on entries","C","Interchanging identical rows changes nothing but also changes the sign of the determinant, forcing the determinant to be zero."
JEE Advanced,Mathematics,Determinants,Hard,"If every element of a 3×3 determinant is multiplied by 2, the determinant becomes?","2 times","4 times","6 times","8 times","D","Multiplying every element of an n×n determinant by k multiplies its value by k^n. Here 2^3=8."
JEE Advanced,Mathematics,Probability,Hard,"Three fair coins are tossed. Given that at least one head occurs, the probability of exactly two heads is?","1/7","3/7","1/2","3/8","B","There are 7 outcomes excluding TTT. Exactly two heads occur in 3 of them, so the conditional probability is 3/7."
JEE Advanced,Mathematics,Statistics,Medium,"The arithmetic mean of 2,4,6,8,10 is?","5","6","7","8","B","Mean=(2+4+6+8+10)/5=30/5=6."
JEE Advanced,Mathematics,Statistics,Hard,"If each observation in a data set is increased by 5, the variance becomes?","Increases by 5","Increases by 25","Unchanged","Doubles","C","Adding a constant changes the mean but does not change deviations from the mean, so variance remains unchanged."
